voter_id,candidate,region
303,Charlie,East
304,Diana,West
305,Eve,Central
306,Frank,Northeast
307,Grace,North
308,Helen,South
309,Ian,East
310,Jack,West
311,Alice,Central
312,Bob,Northeast
313,Charlie,North
314,Diana,South
315,Eve,East
316,Frank,West
317,Grace,Central
318,Helen,Northeast
319,Ian,North
320,Jack,South
321,Alice,East
322,Bob,West
323,Charlie,Central
324,Diana,Northeast
325,Eve,North
326,Frank,South
327,Grace,East
328,Helen,West
329,Ian,Central
330,Jack,Northeast
331,Alice,North
332,Bob,South
333,Charlie,East
334,Diana,West
335,Eve,Central
336,Frank,Northeast
337,Grace,North
338,Helen,South
339,Ian,East
340,Jack,West
341,Alice,Central
342,Bob,Northeast
343,Charlie,North
344,Diana,South
345,Eve,East
346,Frank,West
347,Grace,Central
348,Helen,Northeast
349,Ian,North
350,Jack,South
351,Alice,East
352,Bob,West
353,Charlie,Central
354,Diana,Northeast
355,Eve,North
356,Frank,South
357,Grace,East
358,Helen,West
359,Ian,Central
360,Jack,Northeast
361,Alice,North
362,Bob,South
363,Charlie,East
364,Diana,West
365,Eve,Central
366,Frank,Northeast
367,Grace,North
368,Helen,South
369,Ian,East
370,Jack,West
371,Alice,Central
372,Bob,Northeast
373,Charlie,North
374,Diana,South
375,Eve,East
376,Frank,West
377,Grace,Central
378,Helen,Northeast
379,Ian,North
380,Jack,South
381,Alice,East
382,Bob,West
383,Charlie,Central
384,Diana,Northeast
385,Eve,North
386,Frank,South
387,Grace,East
388,Helen,West
389,Ian,Central
390,Jack,Northeast
391,Alice,North
392,Bob,South
393,Charlie,East
394,Diana,West
395,Eve,Central
396,Frank,Northeast
397,Grace,North
398,Helen,South
399,Ian,East
400,Jack,West
401,Alice,Central
402,Bob,Northeast
403,Charlie,North
404,Diana,South
405,Eve,East
406,Frank,West
407,Grace,Central
408,Helen,Northeast
409,Ian,North
410,Jack,South
411,Alice,East
412,Bob,West
413,Charlie,Central
414,Diana,Northeast
415,Eve,North
416,Frank,South
417,Grace,East
418,Helen,West
419,Ian,Central
420,Jack,Northeast
421,Alice,North
422,Bob,South
423,Charlie,East
424,Diana,West
425,Eve,Central
426,Frank,Northeast
427,Grace,North
428,Helen,South
429,Ian,East
430,Jack,West
431,Alice,Central
432,Bob,Northeast
433,Charlie,North
434,Diana,South
435,Eve,East
436,Frank,West
437,Grace,Central
438,Helen,Northeast
439,Ian,North
440,Jack,South
441,Alice,East
442,Bob,West
443,Charlie,Central
444,Diana,Northeast
445,Eve,North
446,Frank,South
447,Grace,East
448,Helen,West
449,Ian,Central
450,Jack,Northeast
451,Alice,North
452,Bob,South
453,Charlie,East
454,Diana,West
455,Eve,Central
456,Frank,Northeast
457,Grace,North
458,Helen,South
459,Ian,East
460,Jack,West
461,Alice,Central
462,Bob,Northeast
463,Charlie,North
464,Diana,South
465,Eve,East
466,Frank,West
467,Grace,Central
468,Helen,Northeast
469,Ian,North
470,Jack,South
471,Alice,East
472,Bob,West
473,Charlie,Central
474,Diana,Northeast
475,Eve,North
476,Frank,South
477,Grace,East
478,Helen,West
479,Ian,Central
480,Jack,Northeast
481,Alice,North
482,Bob,South
483,Charlie,East
484,Diana,West
485,Eve,Central
486,Frank,Northeast
487,Grace,North
488,Helen,South
489,Ian,East
490,Jack,West
491,Alice,Central
492,Bob,Northeast
493,Charlie,North
494,Diana,South
495,Eve,East
496,Frank,West
497,Grace,Central
498,Helen,Northeast
499,Ian,North
500,Jack,South
